"direction","fromAltName","interaction","name","selected","shared interaction","shared name","toAltName","weight"
"undirected",,"interacts with","C12orf75 (interacts with) CALHM2","false","interacts with","C12orf75 (interacts with) CALHM2",,"0.51855785245666"
"undirected",,"interacts with","PJA2 (interacts with) VOPP1","false","interacts with","PJA2 (interacts with) VOPP1",,"0.546080002280104"
"undirected",,"interacts with","AKR1B1 (interacts with) NTAN1","false","interacts with","AKR1B1 (interacts with) NTAN1",,"0.530148206245705"
"undirected",,"interacts with","COMMD8 (interacts with) WSB2","false","interacts with","COMMD8 (interacts with) WSB2",,"0.510334738523466"
"undirected",,"interacts with","LAMTOR4 (interacts with) SZRD1","false","interacts with","LAMTOR4 (interacts with) SZRD1",,"0.546079932385459"
"undirected",,"interacts with","COPS9 (interacts with) EXTL3","false","interacts with","COPS9 (interacts with) EXTL3",,"0.539233329653013"
"undirected",,"interacts with","TECR (interacts with) TMEM14C","false","interacts with","TECR (interacts with) TMEM14C",,"0.549894380689037"
"undirected",,"interacts with","TCF3 (interacts with) WSB2","false","interacts with","TCF3 (interacts with) WSB2",,"0.518552637074798"
"undirected",,"interacts with","CALHM2 (interacts with) SSH1","false","interacts with","CALHM2 (interacts with) SSH1",,"0.502291234748874"
"undirected",,"interacts with","NDUFB7 (interacts with) PPP1CC","false","interacts with","NDUFB7 (interacts with) PPP1CC",,"0.53609281875915"
"undirected",,"interacts with","LENG1 (interacts with) RNF5","false","interacts with","LENG1 (interacts with) RNF5",,"0.502289749516644"
"undirected",,"interacts with","AZIN1 (interacts with) TRGC2","false","interacts with","AZIN1 (interacts with) TRGC2",,"0.512961287061996"
"undirected",,"interacts with","ESRP2 (interacts with) PTPRM","false","interacts with","ESRP2 (interacts with) PTPRM",,"0.546077595233915"
"undirected",,"interacts with","COMMD8 (interacts with) SZRD1","false","interacts with","COMMD8 (interacts with) SZRD1",,"0.54607654640915"
"undirected",,"interacts with","EML2-AS1 (interacts with) TRGV8","false","interacts with","EML2-AS1 (interacts with) TRGV8",,"0.560135506389073"
"undirected",,"interacts with","CCDC92 (interacts with) MYDGF","false","interacts with","CCDC92 (interacts with) MYDGF",,"0.52140682614773"
"undirected",,"interacts with","NFE2L1 (interacts with) R3HCC1","false","interacts with","NFE2L1 (interacts with) R3HCC1",,"0.524242850751409"
"undirected",,"interacts with","BSG (interacts with) PSMB7","false","interacts with","BSG (interacts with) PSMB7",,"0.530143839570447"
"undirected",,"interacts with","FGR (interacts with) WDR81","false","interacts with","FGR (interacts with) WDR81",,"0.554311405007891"
"undirected",,"interacts with","EML2 (interacts with) PSKH1","false","interacts with","EML2 (interacts with) PSKH1",,"0.507617211692317"
"undirected",,"interacts with","B4GALT5 (interacts with) PPP1CA","false","interacts with","B4GALT5 (interacts with) PPP1CA",,"0.560130571674467"
"undirected",,"interacts with","COTL1 (interacts with) LRRC14","false","interacts with","COTL1 (interacts with) LRRC14",,"0.515806676284786"
"undirected",,"interacts with","MYDGF (interacts with) PLEKHJ1","false","interacts with","MYDGF (interacts with) PLEKHJ1",,"0.560116328425494"
"undirected",,"interacts with","MOAP1 (interacts with) TRGC2","false","interacts with","MOAP1 (interacts with) TRGC2",,"0.542563209449905"
"undirected",,"interacts with","COPS9 (interacts with) FBXO6","false","interacts with","COPS9 (interacts with) FBXO6",,"0.518532769261578"
"undirected",,"interacts with","EML2 (interacts with) MYDGF","false","interacts with","EML2 (interacts with) MYDGF",,"0.521398665164244"
"undirected",,"interacts with","PTPN6 (interacts with) YLPM1","false","interacts with","PTPN6 (interacts with) YLPM1",,"0.549871138943013"
"undirected",,"interacts with","COMMD7 (interacts with) DOCK9","false","interacts with","COMMD7 (interacts with) DOCK9",,"0.539219593674026"
"undirected",,"interacts with","MXD4 (interacts with) ZDHHC20","false","interacts with","MXD4 (interacts with) ZDHHC20",,"0.533110925068783"
"undirected",,"interacts with","MXD4 (interacts with) SNX17","false","interacts with","MXD4 (interacts with) SNX17",,"0.546060482518894"
"undirected",,"interacts with","MAD2L2 (interacts with) PSMB7","false","interacts with","MAD2L2 (interacts with) PSMB7",,"0.536081862168665"
"undirected",,"interacts with","EXTL3 (interacts with) TRGC2","false","interacts with","EXTL3 (interacts with) TRGC2",,"0.560102061215403"
"undirected",,"interacts with","DNAJC1 (interacts with) PTPRM","false","interacts with","DNAJC1 (interacts with) PTPRM",,"0.533109645021663"
"undirected",,"interacts with","SLAMF7 (interacts with) TGFBR1","false","interacts with","SLAMF7 (interacts with) TGFBR1",,"0.502281638921389"
"undirected",,"interacts with","ACSS1 (interacts with) ARPC5L","false","interacts with","ACSS1 (interacts with) ARPC5L",,"0.524229929971165"
"undirected",,"interacts with","PLEKHG3 (interacts with) TADA3","false","interacts with","PLEKHG3 (interacts with) TADA3",,"0.539216227125562"
"undirected",,"interacts with","BEX4 (interacts with) CASP4","false","interacts with","BEX4 (interacts with) CASP4",,"0.536080351053809"
"undirected",,"interacts with","ACTN4 (interacts with) ZEB2","false","interacts with","ACTN4 (interacts with) ZEB2",,"0.549866322103029"
"undirected",,"interacts with","CDKN2AIPNL (interacts with) UBE2L3","false","interacts with","CDKN2AIPNL (interacts with) UBE2L3",,"0.524228447319763"
"undirected",,"interacts with","MRPL20-AS1 (interacts with) ZNF513","false","interacts with","MRPL20-AS1 (interacts with) ZNF513",,"0.539215418992627"
"undirected",,"interacts with","FCRL6 (interacts with) MOAP1","false","interacts with","FCRL6 (interacts with) MOAP1",,"0.554287178060004"
"undirected",,"interacts with","GSTP1 (interacts with) SMCHD1","false","interacts with","GSTP1 (interacts with) SMCHD1",,"0.549861584316391"
"undirected",,"interacts with","C12orf75 (interacts with) TEX261","false","interacts with","C12orf75 (interacts with) TEX261",,"0.518524828978864"
"undirected",,"interacts with","RGL4 (interacts with) TEX261","false","interacts with","RGL4 (interacts with) TEX261",,"0.549859786333419"
"undirected",,"interacts with","CNPY3 (interacts with) RGL4","false","interacts with","CNPY3 (interacts with) RGL4",,"0.515795158008144"
"undirected",,"interacts with","GALC (interacts with) ILRUN","false","interacts with","GALC (interacts with) ILRUN",,"0.539210534822031"
"undirected",,"interacts with","MAN1A1 (interacts with) VOPP1","false","interacts with","MAN1A1 (interacts with) VOPP1",,"0.536078118521962"
"undirected",,"interacts with","BICRAL (interacts with) GLO1","false","interacts with","BICRAL (interacts with) GLO1",,"0.539210417640594"
"undirected",,"interacts with","EIF4G3 (interacts with) MSC","false","interacts with","EIF4G3 (interacts with) MSC",,"0.510314981578039"
"undirected",,"interacts with","CHMP1A (interacts with) R3HCC1","false","interacts with","CHMP1A (interacts with) R3HCC1",,"0.546053830001613"
"undirected",,"interacts with","PPIA (interacts with) SNRNP70","false","interacts with","PPIA (interacts with) SNRNP70",,"0.507604297226438"
"undirected",,"interacts with","CCDC92 (interacts with) PSKH1","false","interacts with","CCDC92 (interacts with) PSKH1",,"0.542547134459313"
"undirected",,"interacts with","DNASE2 (interacts with) PDLIM1","false","interacts with","DNASE2 (interacts with) PDLIM1",,"0.546053280405689"
"undirected",,"interacts with","OSBPL5 (interacts with) R3HCC1","false","interacts with","OSBPL5 (interacts with) R3HCC1",,"0.518522484986119"
"undirected",,"interacts with","MAPKAPK3 (interacts with) SPG21","false","interacts with","MAPKAPK3 (interacts with) SPG21",,"0.549837722721528"
"undirected",,"interacts with","GLO1 (interacts with) MEX3C","false","interacts with","GLO1 (interacts with) MEX3C",,"0.546048193709162"
"undirected",,"interacts with","ACSS1 (interacts with) DR1","false","interacts with","ACSS1 (interacts with) DR1",,"0.536073925460898"
"undirected",,"interacts with","ELF4 (interacts with) SUSD1","false","interacts with","ELF4 (interacts with) SUSD1",,"0.560064668897282"
"undirected",,"interacts with","ARL5A (interacts with) COMMD7","false","interacts with","ARL5A (interacts with) COMMD7",,"0.533097569893295"
"undirected",,"interacts with","C12orf75 (interacts with) ZC3H12D","false","interacts with","C12orf75 (interacts with) ZC3H12D",,"0.539197618503293"
"undirected",,"interacts with","BRK1 (interacts with) WSB2","false","interacts with","BRK1 (interacts with) WSB2",,"0.502263215683129"
"undirected",,"interacts with","CALHM2 (interacts with) MRGBP","false","interacts with","CALHM2 (interacts with) MRGBP",,"0.560062321379721"
"undirected",,"interacts with","LARP4B (interacts with) SSH1","false","interacts with","LARP4B (interacts with) SSH1",,"0.515780854549738"
"undirected",,"interacts with","DNAJC1 (interacts with) PSKH1","false","interacts with","DNAJC1 (interacts with) PSKH1",,"0.542539150461819"
"undirected",,"interacts with","MRPS23 (interacts with) RGL4","false","interacts with","MRPS23 (interacts with) RGL4",,"0.533093521512899"
"undirected",,"interacts with","ACTN4 (interacts with) MMP23B","false","interacts with","ACTN4 (interacts with) MMP23B",,"0.560061292290483"
"undirected",,"interacts with","ICAM3 (interacts with) YLPM1","false","interacts with","ICAM3 (interacts with) YLPM1",,"0.530111172122703"
"undirected",,"interacts with","CYRIB (interacts with) SNRNP70","false","interacts with","CYRIB (interacts with) SNRNP70",,"0.502255750915417"
"undirected",,"interacts with","MYDGF (interacts with) SMAD2","false","interacts with","MYDGF (interacts with) SMAD2",,"0.507592785886445"
"undirected",,"interacts with","COMMD8 (interacts with) ICAM3","false","interacts with","COMMD8 (interacts with) ICAM3",,"0.542538608575607"
"undirected",,"interacts with","EOMES (interacts with) GIPC1","false","interacts with","EOMES (interacts with) GIPC1",,"0.512914442084336"
"undirected",,"interacts with","CERT1 (interacts with) MOB1A","false","interacts with","CERT1 (interacts with) MOB1A",,"0.504986328093991"
"undirected",,"interacts with","COMMD7 (interacts with) TRAM1","false","interacts with","COMMD7 (interacts with) TRAM1",,"0.536057449867211"
"undirected",,"interacts with","KLHDC3 (interacts with) WDR46","false","interacts with","KLHDC3 (interacts with) WDR46",,"0.507589398875911"
"undirected",,"interacts with","EML2 (interacts with) RTN3","false","interacts with","EML2 (interacts with) RTN3",,"0.518513550996175"
"undirected",,"interacts with","PPP1CC (interacts with) UBE2L3","false","interacts with","PPP1CC (interacts with) UBE2L3",,"0.536056485166633"
"undirected",,"interacts with","HMGN4 (interacts with) LENG1","false","interacts with","HMGN4 (interacts with) LENG1",,"0.546027853191193"
"undirected",,"interacts with","MOAP1 (interacts with) SMAD2","false","interacts with","MOAP1 (interacts with) SMAD2",,"0.515773252744101"
"undirected",,"interacts with","EXTL3 (interacts with) FGR","false","interacts with","EXTL3 (interacts with) FGR",,"0.554243332245358"
"undirected",,"interacts with","MOAP1 (interacts with) TRGV8","false","interacts with","MOAP1 (interacts with) TRGV8",,"0.536056164258567"
"undirected",,"interacts with","UBE2L3 (interacts with) ZNF80","false","interacts with","UBE2L3 (interacts with) ZNF80",,"0.518506303850961"
"undirected",,"interacts with","PLEKHJ1 (interacts with) RNF5","false","interacts with","PLEKHJ1 (interacts with) RNF5",,"0.521360307571552"
