nodeName	altName	nodeAttr[nodesPresent, ]
VPS11	NA	brown
VPS41	NA	brown
WBP11	NA	brown
WDR75	NA	brown
WDR91	NA	brown
WIPI2	NA	brown
WTAP	NA	brown
XAB2	NA	brown
XRN1	NA	brown
YAF2	NA	brown
YJU2B	NA	brown
YME1L1	NA	brown
YRDC	NA	brown
YTHDC1	NA	brown
YTHDC2	NA	brown
YY1AP1	NA	brown
ZBTB11	NA	brown
ZBTB40	NA	brown
ZC3H18	NA	brown
ZCCHC8	NA	brown
ZFYVE27	NA	brown
ZMYM2	NA	brown
ZNF143	NA	brown
ZNF212	NA	brown
ZNF44	NA	brown
ZNF451	NA	brown
ZZEF1	NA	brown
